destination,airport_name,state,region,delayed_time,pct_greater,total_flights
ABE,Lehigh Valley International,Pennsylvania,Northeast,40.09935897435897,0.20448717948717948,5012
ABI,Abilene Regional,Texas,South,27.30292792792793,0.11711711711711711,2272
ABQ,Albuquerque International Sunport,New Mexico,West,32.23554480534439,0.14293941488136375,23736
ABR,Aberdeen Regional,South Dakota,Midwest,76.12751677852349,0.2348993288590604,751
ABY,Southwest Georgia Regional,Georgia,South,40.63907284768212,0.1986754966887417,1005
ACK,Nantucket Memorial,Massachusetts,Northeast,73.41666666666667,0.3649425287356322,1195
ACT,Waco Regional,Texas,South,26.901234567901234,0.10802469135802469,1799
ACV,California Redwood Coast Humboldt County,California,West,69.51289833080425,0.3171471927162367,2015
ACY,Atlantic City International,New Jersey,Northeast,45.42404371584699,0.24043715846994534,3113
ADK,Adak,Alaska,West,43.0,0.2,104
ADQ,Kodiak Airport,Alaska,West,19.727272727272727,0.06060606060606061,641
AEX,Alexandria International,Louisiana,South,36.62692307692308,0.17307692307692307,3272
AGS,Augusta Regional at Bush Field,Georgia,South,36.61685552407932,0.18555240793201133,4768
AKN,King Salmon Airport,Alaska,West,6.928571428571429,,61
ALB,Albany International,New York,Northeast,38.706876591803656,0.19055336883537857,12567
ALO,Waterloo Regional,Iowa,Midwest,35.464285714285715,0.17207792207792208,700
AMA,Rick Husband Amarillo International,Texas,South,39.8710182767624,0.19321148825065274,5209
ANC,Ted Stevens Anchorage International,Alaska,West,26.24707240639947,0.0925284512617516,18990
APN,Alpena County Regional,Michigan,Midwest,70.62595419847328,0.2748091603053435,628
ART,Watertown International,New York,Northeast,50.18072289156626,0.25301204819277107,244
ASE,Aspen Pitkin County Sardy Field,Colorado,West,60.20929308975377,0.26449563145353455,6584
ATL,Hartsfield-Jackson Atlanta International,Georgia,South,38.69803203746376,0.1689585965955549,393049
ATW,Appleton International,Wisconsin,Midwest,46.71473354231975,0.2170846394984326,4335
ATY,Watertown Regional,South Dakota,Midwest,54.27536231884058,0.2608695652173913,522
AUS,Austin - Bergstrom International,Texas,South,35.73539173726963,0.1647305441523277,66819
AVL,Asheville Regional,North Carolina,South,39.29778672032193,0.1876976142569704,9551
AVP,Wilkes Barre Scranton International,Pennsylvania,Northeast,38.46382978723404,0.19574468085106383,3581
AZA,Phoenix - Mesa Gateway,Arizona,West,40.64309639002605,0.17938221064384072,5721
AZO,Kalamazoo/Battle Creek International,Michigan,Midwest,38.816920943134534,0.17614424410540916,2241
BDL,Bradley International,Connecticut,Northeast,38.913338357196686,0.19366993217784476,28041
BET,Bethel Airport,Alaska,West,23.731182795698924,0.10752688172043011,827
BFF,Western Neb. Regional/William B. Heilig Field,Nebraska,Midwest,71.0,0.27586206896551724,626
BFL,Meadows Field,California,West,47.4953596287703,0.228538283062645,2470
BFM,Mobile Downtown,Alabama,South,38.75806451612903,0.1774193548387097,158
BGM,Greater Binghamton/Edwin A. Link Field,New York,Northeast,55.18796992481203,0.2819548872180451,958
BGR,Bangor International,Maine,Northeast,43.738078291814944,0.22135231316725978,3774
BHM,Birmingham-Shuttlesworth International,Alabama,South,39.07421875,0.20005580357142858,19478
BIL,Billings Logan International,Montana,West,45.15181518151815,0.2103960396039604,4067
BIS,Bismarck Municipal,North Dakota,Midwest,49.78302642113691,0.24259407526020815,4254
BJI,Bemidji Regional,Minnesota,Midwest,54.859154929577464,0.19718309859154928,742
BKG,Branson Airport,Missouri,Midwest,43.88636363636363,0.26136363636363635,231
BLI,Bellingham International,Washington,West,28.070017953321365,0.12387791741472172,1840
BLV,Scott AFB/MidAmerica,Illinois,Midwest,38.130790190735695,0.16621253405994552,1015
BMI,Central Il Regional Airport at Bloomington,Illinois,Midwest,42.49953488372093,0.2055813953488372,3079
BNA,Nashville International,Tennessee,South,35.54916642077309,0.17007229271171437,82656
BOI,Boise Air Terminal,Idaho,West,35.55813953488372,0.16245119674079103,19074
BOS,Logan International,Massachusetts,Northeast,53.790989438993336,0.2803535315706689,149416
BPT,Jack Brooks Regional,Texas,South,32.53191489361702,0.13069908814589665,1001
BQK,Brunswick Golden Isles,Georgia,South,43.33766233766234,0.2012987012987013,1037
BRD,Brainerd Lakes Regional,Minnesota,Midwest,92.0,0.32142857142857145,636
BRO,Brownsville South Padre Island International,Texas,South,35.95056179775281,0.17640449438202246,2708
BRW,Wiley Post/Will Rogers Memorial,Alaska,West,18.75735294117647,0.051470588235294115,728
BTM,Bert Mooney,Montana,West,38.82051282051282,0.13675213675213677,677
BTR,Baton Rouge Metropolitan/Ryan Field,Louisiana,South,41.58400321543408,0.19131832797427653,7694
BTV,Burlington International,Vermont,Northeast,47.65038033937975,0.23464014043300174,9639
BUF,Buffalo Niagara International,New York,Northeast,43.24313725490196,0.2196078431372549,24854
BUR,Bob Hope,California,West,30.421917018824434,0.13753361505954667,31907
BWI,Baltimore/Washington International Thurgood Marshall,Maryland,South,33.956745965729496,0.15751122941274331,103709
BZN,Bozeman Yellowstone International,Montana,West,35.887620719929764,0.17208077260755048,6818
CAE,Columbia Metropolitan,South Carolina,South,37.68889730958696,0.1951496779082986,7454
CAK,Akron-Canton Regional,Ohio,Midwest,55.17491883116883,0.28125,6317
CDC,Cedar City Regional,Utah,West,21.66260162601626,0.1016260162601626,763
